run	handle	target	transport_op	segments	bytes	submit_us	hixl_op	comm_total_us	desc_build_us	inner_us	context_us	connect_us	get_channel_us	channel_async_us	tail_us	mutex_us	slot_us	host_flag_us	record_us	issue_us	issue_context_us	hccl_issue_us	flag_memcpy_us	hccl_us
run1	1	127.0.0.1:4500	1	1	10	1730	1	1685	1	1684	6	0	2	1671	2	0	1384	12	2	269	1	246	19	216
run1	2	127.0.0.1:4501	0	108	7962624	2140	0	2105	8	2097	1	0	0	2092	2	0	1471	5	1	612	1	599	8	572
run1	3	127.0.0.1:4501	1	1	63	138	1	118	0	118	1	0	0	115	0	0	1	0	0	112	1	102	6	93
run1	4	127.0.0.1:4500	1	1	10	251	1	211	0	211	5	0	3	190	1	0	1	1	0	185	1	172	9	150
run1	5	127.0.0.1:4501	1	108	7962624	213	1	182	1	181	0	1	0	177	0	1	0	1	0	172	0	164	5	149
run1	6	127.0.0.1:4501	1	1	63	106	1	89	0	89	1	0	0	85	1	0	1	0	0	77	0	69	5	61
run1	7	127.0.0.1:4502	1	108	7962624	2286	1	2188	4	2184	23	0	10	2143	3	0	1436	12	3	687	2	661	16	625
run1	8	127.0.0.1:4502	1	1	63	200	1	164	0	164	1	0	0	157	1	0	1	0	1	151	0	139	7	113
run1	9	127.0.0.1:4500	1	1	10	342	1	299	1	298	8	0	3	282	2	0	1	1	1	275	1	256	14	229
run1	10	127.0.0.1:4501	0	108	7962624	246	0	214	1	213	1	0	1	208	1	0	1	0	0	205	0	194	7	162
run1	11	127.0.0.1:4501	1	1	63	106	1	90	0	90	0	0	0	86	1	1	0	0	0	83	0	75	5	67
run1	12	127.0.0.1:4500	1	1	10	371	1	324	1	323	9	1	4	302	2	0	2	1	1	294	0	275	13	238
run1	13	127.0.0.1:4501	1	108	7962624	230	1	197	1	196	2	0	0	190	0	0	1	1	0	185	1	174	6	158
run1	14	127.0.0.1:4501	1	1	63	123	1	107	0	107	1	0	1	102	0	0	0	0	0	100	0	91	5	81
run1	15	127.0.0.1:4502	1	108	7962624	590	1	499	4	495	21	1	10	454	2	0	3	1	2	443	2	417	17	389
run1	16	127.0.0.1:4502	1	1	63	157	1	125	1	124	1	0	0	119	1	0	1	0	0	114	1	100	6	86
run2	1	127.0.0.1:4500	1	1	10	1934	1	1870	0	1870	16	1	4	1841	2	0	1458	10	3	363	1	334	20	288
run2	2	127.0.0.1:4501	0	108	7962624	2204	0	2161	1	2160	2	0	1	2151	1	1	1486	6	2	652	1	636	9	605
run2	3	127.0.0.1:4501	1	1	63	191	1	169	0	169	1	0	0	161	1	0	1	0	0	156	0	143	7	127
run2	4	127.0.0.1:4500	1	1	10	432	1	382	1	381	14	0	4	335	1	1	1	2	1	325	1	303	15	269
run2	5	127.0.0.1:4501	1	108	7962624	269	1	238	1	237	1	0	1	232	1	0	1	1	0	228	1	217	7	181
run2	6	127.0.0.1:4501	1	1	63	114	1	99	0	99	0	0	1	95	0	0	0	1	0	87	0	79	5	70
run2	7	127.0.0.1:4502	1	108	7962624	2025	1	1948	2	1946	10	0	4	1926	1	0	1324	11	2	584	1	563	15	523
run2	8	127.0.0.1:4502	1	1	63	165	1	131	0	131	1	0	0	127	1	0	1	0	0	124	1	115	6	96
run2	9	127.0.0.1:4500	1	1	10	392	1	340	1	339	14	0	3	316	1	0	2	1	1	308	1	289	13	255
run2	10	127.0.0.1:4501	0	108	7962624	276	0	243	1	242	1	0	1	237	0	0	1	0	1	231	0	219	7	200
run2	11	127.0.0.1:4501	1	1	63	124	1	106	0	106	1	0	0	99	1	0	0	0	0	96	1	85	5	73
run2	12	127.0.0.1:4500	1	1	10	509	1	465	1	464	9	0	2	447	2	0	1	1	1	440	1	421	13	366
run2	13	127.0.0.1:4502	1	108	7962624	372	1	305	2	303	5	0	3	291	1	0	1	1	1	283	1	266	11	238
run2	14	127.0.0.1:4501	1	108	7962624	255	1	228	1	227	1	0	0	221	1	0	1	1	0	216	1	204	8	193
run2	15	127.0.0.1:4502	1	1	63	150	1	116	0	116	1	0	0	108	1	0	0	0	0	104	1	94	5	78
run2	16	127.0.0.1:4501	1	1	63	114	1	100	0	100	1	0	0	96	0	1	0	0	0	93	1	84	5	77
