run	handle	target	transport_op	segments	bytes	submit_us	hixl_op	comm_total_us	desc_build_us	inner_us	context_us	connect_us	get_channel_us	channel_async_us	tail_us	mutex_us	slot_us	host_flag_us	record_us	issue_us	issue_context_us	hccl_issue_us	flag_memcpy_us	hccl_us
run1	1	127.0.0.1:4500	1	1	10	1730	1	1685	1	1684	6	0	2	1671	2	0	1384	12	2	269	1	246	19	216
run1	2	127.0.0.1:4501	0	108	7962624	2140	0	2105	8	2097	1	0	0	2092	2	0	1471	5	1	612	1	599	8	572
run1	3	127.0.0.1:4501	1	1	63	138	1	118	0	118	1	0	0	115	0	0	1	0	0	112	1	102	6	93
run1	4	127.0.0.1:4500	1	1	10	251	1	211	0	211	5	0	3	190	1	0	1	1	0	185	1	172	9	150
run1	5	127.0.0.1:4501	1	108	7962624	213	1	182	1	181	0	1	0	177	0	1	0	1	0	172	0	164	5	149
run1	6	127.0.0.1:4501	1	1	63	106	1	89	0	89	1	0	0	85	1	0	1	0	0	77	0	69	5	61
run1	7	127.0.0.1:4502	1	108	7962624	2286	1	2188	4	2184	23	0	10	2143	3	0	1436	12	3	687	2	661	16	625
run1	8	127.0.0.1:4502	1	1	63	200	1	164	0	164	1	0	0	157	1	0	1	0	1	151	0	139	7	113
run1	9	127.0.0.1:4500	1	1	10	342	1	299	1	298	8	0	3	282	2	0	1	1	1	275	1	256	14	229
run1	10	127.0.0.1:4501	0	108	7962624	246	0	214	1	213	1	0	1	208	1	0	1	0	0	205	0	194	7	162
run1	11	127.0.0.1:4501	1	1	63	106	1	90	0	90	0	0	0	86	1	1	0	0	0	83	0	75	5	67
run1	12	127.0.0.1:4500	1	1	10	371	1	324	1	323	9	1	4	302	2	0	2	1	1	294	0	275	13	238
run1	13	127.0.0.1:4501	1	108	7962624	230	1	197	1	196	2	0	0	190	0	0	1	1	0	185	1	174	6	158
run1	14	127.0.0.1:4501	1	1	63	123	1	107	0	107	1	0	1	102	0	0	0	0	0	100	0	91	5	81
run1	15	127.0.0.1:4502	1	108	7962624	590	1	499	4	495	21	1	10	454	2	0	3	1	2	443	2	417	17	389
run1	16	127.0.0.1:4502	1	1	63	157	1	125	1	124	1	0	0	119	1	0	1	0	0	114	1	100	6	86
