run	request	queue_wait_us	backend_us	run_post_us	total_us	transfer_status
run01	0x1	6	19	4	29	0
run01	0x1	4	9	4	17	0
run01	0x1	4	12	4	20	0
run01	0x1	5	9	4	18	0
run01	0x1	3	8	4	15	0
run01	0x1	3	7	4	14	0
run01	0x1	4	7	4	15	0
run01	0x1	4	8	3	15	0
run01	0x1	3	10	3	16	0
run01	0x1	3	18	4	25	0
run01	0x1	4	8	4	16	0
run01	0x1	4	8	4	16	0
run01	0x1	3	8	3	14	0
run01	0x1	3	9	3	15	0
run01	0x1	3	11	4	18	0
run01	0x1	3	8	3	14	0
run01	0x1	3	13	4	20	0
run01	0x1	4	10	3	17	0
run01	0x1	3	10	3	16	0
run01	0x1	4	8	3	15	0
run01	0x1	4	12	3	19	0
run01	0x1	4	6	4	14	0
run01	0x1	3	10	4	17	0
run01	0x1	4	13	4	21	0
run01	0x1	3	9	3	15	0
run01	0x1	3	10	4	17	0
run01	0x1	4	9	4	17	0
run01	0x1	4	9	3	16	0
run01	0x1	4	6	4	14	0
run01	0x1	4	10	4	18	0
run01	0x1	4	13	4	21	0
run01	0x1	4	10	3	17	0
run01	0x1	3	8	3	14	0
run01	0x1	4	8	4	16	0
run01	0x1	4	9	3	16	0
run01	0x1	3	11	4	18	0
run01	0x1	4	9	4	17	0
run01	0x1	3	14	3	20	0
run01	0x1	3	8	3	14	0
run01	0x1	3	9	3	15	0
run01	0x1	4	9	3	16	0
run01	0x1	3	11	4	18	0
run01	0x1	4	9	3	16	0
run01	0x1	4	12	3	19	0
run01	0x1	3	7	4	14	0
run01	0x1	4	7	4	15	0
run01	0x1	3	9	4	16	0
run01	0x1	3	7	3	13	0
run01	0x1	3	8	4	15	0
run01	0x1	3	22	4	29	1
run01	0x2	8	17	5	30	0
run01	0x2	4	14	4	22	0
run01	0x2	4	8	3	15	0
run01	0x2	3	11	4	18	0
run01	0x2	3	15	4	22	0
run01	0x2	3	16	4	23	0
run01	0x2	4	12	3	19	0
run01	0x2	4	13	4	21	0
run01	0x2	4	7	4	15	0
run01	0x2	3	8	4	15	0
run01	0x2	5	10	3	18	0
run01	0x2	4	11	4	19	0
run01	0x2	3	9	4	16	0
run01	0x2	3	11	4	18	0
run01	0x2	4	11	4	19	0
run01	0x2	5	11	4	20	0
run01	0x2	4	10	4	18	0
run01	0x2	4	13	4	21	0
run01	0x2	3	16	4	23	0
run01	0x2	4	8	3	15	0
run01	0x2	3	17	3	23	0
run01	0x2	3	10	3	16	0
run01	0x2	4	14	3	21	0
run01	0x2	3	8	3	14	0
run01	0x2	4	10	4	18	0
run01	0x2	3	8	3	14	0
run01	0x2	3	17	3	23	0
run01	0x2	3	11	3	17	0
run01	0x2	4	20	4	28	1
run01	0x3	4	14	4	22	1
run01	0x4	13	36	7	56	1
run01	0x5	6	17	5	28	0
run01	0x5	4	18	4	26	0
run01	0x5	4	19	4	27	1
run01	0x6	5	16	5	26	1
run01	0x1	15	31	13	59	0
run01	0x1	11	16	11	38	0
run01	0x1	11	21	10	42	0
run01	0x1	11	16	10	37	0
run01	0x1	10	17	11	38	0
run01	0x1	11	16	11	38	0
run01	0x1	11	15	10	36	0
run01	0x1	11	22	11	44	0
run01	0x1	12	18	11	41	0
run01	0x1	11	13	10	34	0
run01	0x1	10	13	10	33	0
run01	0x1	10	15	10	35	0
run01	0x1	10	15	11	36	0
run01	0x1	11	11	11	33	0
run01	0x1	10	13	11	34	0
run01	0x1	11	15	11	37	0
run01	0x1	11	14	10	35	0
run01	0x1	11	15	10	36	0
run01	0x1	11	14	10	35	0
run01	0x1	11	12	11	34	0
run01	0x1	11	13	11	35	0
run01	0x1	11	18	11	40	0
run01	0x1	10	17	11	38	0
run01	0x1	10	19	11	40	0
run01	0x1	11	16	10	37	0
run01	0x1	11	19	10	40	0
run01	0x1	11	13	10	34	0
run01	0x1	11	13	12	36	0
run01	0x1	11	18	11	40	0
run01	0x1	10	48	12	70	1
run01	0x2	11	17	11	39	1
run01	0x7	5	25	4	34	1
run01	0x8	5	16	4	25	0
run01	0x8	4	17	5	26	0
run01	0x8	4	7	3	14	0
run01	0x8	4	7	3	14	0
run01	0x8	4	11	3	18	0
run01	0x8	4	9	4	17	0
run01	0x8	3	12	3	18	1
run01	0x9	5	12	4	21	0
run01	0x9	5	14	5	24	1
run01	0xa	5	24	5	34	1
run01	0xb	7	11	5	23	0
run01	0xb	5	12	4	21	0
run01	0xb	5	9	4	18	0
run01	0xb	5	10	5	20	0
run01	0xb	6	9	5	20	0
run01	0xb	5	10	5	20	0
run01	0xb	5	14	4	23	1
run01	0xc	6	20	6	32	1
run01	0x3	13	36	13	62	1
run01	0x4	11	17	11	39	1
stress_b32_run01	0x1	8	19	12	39	0
stress_b32_run01	0x1	5	8	10	23	0
stress_b32_run01	0x1	5	9	10	24	0
stress_b32_run01	0x1	5	10	10	25	0
stress_b32_run01	0x1	5	12	10	27	0
stress_b32_run01	0x1	5	11	10	26	0
stress_b32_run01	0x1	5	8	11	24	0
stress_b32_run01	0x1	5	9	10	24	0
stress_b32_run01	0x1	4	10	10	24	0
stress_b32_run01	0x1	5	10	9	24	0
stress_b32_run01	0x1	4	11	10	25	0
stress_b32_run01	0x1	5	8	10	23	0
stress_b32_run01	0x1	5	10	10	25	0
stress_b32_run01	0x1	5	11	10	26	0
stress_b32_run01	0x1	5	10	10	25	0
stress_b32_run01	0x1	5	11	11	27	0
stress_b32_run01	0x1	5	8	9	22	0
stress_b32_run01	0x1	5	9	16	30	0
stress_b32_run01	0x1	5	8	9	22	0
stress_b32_run01	0x1	5	11	9	25	0
stress_b32_run01	0x1	5	10	10	25	0
stress_b32_run01	0x1	4	9	14	27	0
stress_b32_run01	0x1	5	8	11	24	0
stress_b32_run01	0x1	5	10	10	25	0
stress_b32_run01	0x1	4	10	10	24	0
stress_b32_run01	0x1	5	11	10	26	0
stress_b32_run01	0x1	5	8	10	23	0
stress_b32_run01	0x1	5	8	10	23	0
stress_b32_run01	0x1	5	10	11	26	0
stress_b32_run01	0x1	5	7	10	22	0
stress_b32_run01	0x1	4	10	11	25	0
stress_b32_run01	0x1	5	11	10	26	0
stress_b32_run01	0x1	5	10	10	25	0
stress_b32_run01	0x1	5	10	11	26	0
stress_b32_run01	0x1	5	9	10	24	0
stress_b32_run01	0x1	5	11	9	25	0
stress_b32_run01	0x1	5	11	10	26	0
stress_b32_run01	0x1	4	10	9	23	0
stress_b32_run01	0x1	5	10	11	26	0
stress_b32_run01	0x1	4	10	10	24	0
stress_b32_run01	0x1	5	10	9	24	0
stress_b32_run01	0x1	5	10	14	29	0
stress_b32_run01	0x1	5	8	10	23	0
stress_b32_run01	0x1	4	10	10	24	0
stress_b32_run01	0x1	5	19	14	38	1
stress_b32_run01	0x2	11	39	11	61	1
stress_b32_run01	0x3	7	17	10	34	0
stress_b32_run01	0x3	4	8	7	19	0
stress_b32_run01	0x3	4	7	7	18	0
stress_b32_run01	0x3	3	9	7	19	0
stress_b32_run01	0x3	4	10	9	23	0
stress_b32_run01	0x3	4	7	8	19	0
stress_b32_run01	0x3	3	12	8	23	0
stress_b32_run01	0x3	4	9	8	21	0
stress_b32_run01	0x3	4	7	9	20	0
stress_b32_run01	0x3	4	7	9	20	0
stress_b32_run01	0x3	4	7	7	18	0
stress_b32_run01	0x3	4	7	8	19	0
stress_b32_run01	0x3	3	10	8	21	0
stress_b32_run01	0x3	4	8	8	20	0
stress_b32_run01	0x3	4	7	7	18	0
stress_b32_run01	0x3	3	9	8	20	0
stress_b32_run01	0x3	3	8	9	20	0
stress_b32_run01	0x3	3	8	9	20	0
stress_b32_run01	0x3	4	9	8	21	0
stress_b32_run01	0x3	3	10	8	21	0
stress_b32_run01	0x3	4	8	9	21	0
stress_b32_run01	0x3	4	10	7	21	0
stress_b32_run01	0x3	3	10	9	22	0
stress_b32_run01	0x3	4	8	9	21	0
stress_b32_run01	0x3	4	7	12	23	0
stress_b32_run01	0x3	3	9	7	19	0
stress_b32_run01	0x3	4	9	8	21	0
stress_b32_run01	0x3	3	9	9	21	0
stress_b32_run01	0x3	3	8	12	23	0
stress_b32_run01	0x3	3	10	9	22	0
stress_b32_run01	0x3	3	16	8	27	1
stress_b32_run01	0x4	4	13	14	31	1
stress_b32_run01	0x5	5	19	8	32	1
stress_b32_run01	0x6	5	12	10	27	0
stress_b32_run01	0x6	4	13	8	25	1
stress_b32_run01	0x7	5	11	9	25	1
stress_b32_run01	0x8	4	9	9	22	0
stress_b32_run01	0x8	4	11	8	23	1
stress_b32_run01	0x9	5	12	8	25	1
stress_b32_run01	0xa	4	11	8	23	1
stress_b32_run01	0xb	5	9	9	23	0
stress_b32_run01	0xb	4	11	8	23	1
stress_b32_run01	0xc	5	13	8	26	1
stress_b32_run01	0xd	5	12	8	25	1
stress_b32_run01	0xe	99	15	10	124	1
stress_b32_run01	0xf	5	12	8	25	1
stress_b32_run01	0x10	4	11	8	23	1
stress_b32_run01	0x11	5	11	8	24	1
stress_b32_run01	0x12	5	10	8	23	1
stress_b32_run01	0x13	5	11	8	24	1
stress_b32_run01	0x14	4	11	8	23	1
stress_b32_run01	0x15	4	11	8	23	1
stress_b32_run01	0x16	4	11	8	23	1
stress_b32_run01	0x17	6	10	8	24	1
stress_b32_run01	0x18	5	13	8	26	1
stress_b32_run01	0x19	4	11	8	23	1
stress_b32_run01	0x1a	4	10	12	26	1
stress_b32_run01	0x1b	5	14	9	28	1
stress_b32_run01	0x1c	4	14	8	26	1
stress_b32_run01	0x1d	4	11	8	23	1
stress_b32_run01	0x1e	4	11	9	24	1
stress_b32_run01	0x1f	4	12	8	24	1
stress_b32_run01	0x20	4	10	8	22	1
stress_b32_run01	0x21	4	13	8	25	1
stress_b32_run01	0x22	5	11	8	24	1
stress_b32_run01	0x23	5	12	8	25	1
stress_b32_run01	0x1	124	37	26	187	0
stress_b32_run01	0x1	153	30	19	202	0
stress_b32_run01	0x2	14	16	21	51	0
stress_b32_run01	0x1	112	21	18	151	0
stress_b32_run01	0x2	151	35	22	208	0
stress_b32_run01	0x3	129	22	23	174	0
stress_b32_run01	0x1	144	22	18	184	0
stress_b32_run01	0x2	151	25	19	195	0
stress_b32_run01	0x3	12	16	20	48	0
stress_b32_run01	0x4	106	36	20	162	0
stress_b32_run01	0x5	134	9	17	160	0
stress_b32_run01	0x6	12	14	19	45	0
stress_b32_run01	0x1	90	40	21	151	1
stress_b32_run01	0x2	129	35	27	191	1
stress_b32_run01	0x3	95	25	18	138	1
stress_b32_run01	0x4	95	42	20	157	1
stress_b32_run01	0x5	93	24	18	135	1
stress_b32_run01	0x6	93	23	25	141	1
stress_b32_run01	0x7	90	24	20	134	1
stress_b32_run01	0x8	91	24	25	140	1
stress_b32_run01	0x9	94	37	26	157	1
stress_b32_run01	0xa	96	23	19	138	1
stress_b32_run01	0xd	12	17	21	50	1
stress_b32_run01	0x10	11	44	21	76	1
stress_b32_run01	0x13	11	16	21	48	0
stress_b32_run01	0x16	11	13	24	48	0
stress_b32_run01	0x19	12	27	17	56	0
stress_b32_run01	0x1c	12	15	21	48	0
stress_b32_run01	0x1f	12	13	24	49	0
stress_b32_run01	0x22	11	35	20	66	0
stress_b32_run01	0x25	13	17	19	49	0
stress_b32_run01	0x28	12	16	17	45	0
stress_b32_run01	0xb	11	33	19	63	1
stress_b32_run01	0xc	11	20	20	51	1
stress_b32_run01	0xe	13	21	19	53	1
stress_b32_run01	0xf	11	21	20	52	1
stress_b32_run01	0x11	12	20	20	52	1
stress_b32_run01	0x12	13	41	17	71	1
stress_b32_run01	0x14	19	55	21	95	1
stress_b32_run01	0x15	11	22	19	52	1
stress_b32_run01	0x17	12	25	20	57	1
stress_b32_run01	0x18	13	20	21	54	1
stress_b32_run01	0x1a	13	20	20	53	1
stress_b32_run01	0x1b	13	21	21	55	1
stress_b32_run01	0x1d	12	19	17	48	1
stress_b32_run01	0x1e	12	43	17	72	1
stress_b32_run01	0x20	12	25	19	56	1
stress_b32_run01	0x21	12	57	17	86	1
stress_b32_run01	0x23	12	22	19	53	1
stress_b32_run01	0x24	12	20	19	51	1
stress_b32_run01	0x26	11	20	21	52	1
stress_b32_run01	0x27	12	49	17	78	1
stress_b32_run01	0x13	12	23	22	57	1
stress_b32_run01	0x16	12	19	23	54	1
stress_b32_run01	0x19	12	20	19	51	1
stress_b32_run01	0x1c	12	19	35	66	1
stress_b32_run01	0x1f	13	23	21	57	1
stress_b32_run01	0x22	12	23	18	53	1
stress_b32_run01	0x25	12	26	21	59	1
stress_b32_run01	0x28	12	19	22	53	1
stress_b32_run01	0x29	11	24	20	55	1
stress_b32_run01	0x2a	12	18	20	50	1
stress_b32_run01	0x2b	11	19	22	52	1
stress_b32_run01	0x2c	12	19	19	50	1
stress_b32_run01	0x2d	12	17	20	49	1
stress_b32_run01	0x2e	12	18	22	52	1
stress_b32_run01	0x2f	13	18	20	51	1
stress_b32_run01	0x30	12	17	19	48	1
stress_b32_run01	0x31	11	17	20	48	1
stress_b32_run01	0x32	12	16	19	47	1
stress_b32_run01	0x33	12	19	19	50	1
stress_b32_run01	0x34	11	17	20	48	1
stress_b32_run01	0x35	12	17	19	48	1
stress_b32_run01	0x36	12	23	19	54	1
stress_b32_run01	0x37	12	17	19	48	1
stress_b32_run01	0x38	12	17	19	48	1
stress_b32_run01	0x39	11	16	19	46	1
stress_b32_run01	0x3a	11	20	20	51	1
stress_b32_run01	0x3b	11	16	20	47	1
stress_b32_run01	0x3c	12	18	19	49	1
stress_b32_run01	0x24	7	16	9	32	1
stress_b32_run01	0x25	5	12	8	25	1
stress_b32_run01	0x26	4	10	8	22	1
stress_b32_run01	0x27	5	11	7	23	1
stress_b32_run01	0x28	5	11	7	23	1
stress_b32_run01	0x29	5	12	7	24	1
stress_b32_run01	0x2a	5	17	8	30	1
stress_b32_run01	0x2b	5	11	8	24	1
stress_b32_run01	0x2c	5	11	8	24	1
stress_b32_run01	0x2d	5	11	8	24	1
stress_b32_run01	0x2e	5	19	9	33	1
stress_b32_run01	0x2f	4	10	8	22	1
stress_b32_run01	0x30	5	15	8	28	1
stress_b32_run01	0x31	4	12	8	24	1
stress_b32_run01	0x32	5	10	8	23	1
stress_b32_run01	0x33	5	11	14	30	1
stress_b32_run01	0x34	4	11	9	24	1
stress_b32_run01	0x35	5	10	8	23	1
stress_b32_run01	0x36	5	10	8	23	1
stress_b32_run01	0x37	4	13	8	25	1
stress_b32_run01	0x38	4	11	8	23	1
stress_b32_run01	0x39	5	10	8	23	1
stress_b32_run01	0x3a	5	11	8	24	1
stress_b32_run01	0x3b	5	11	8	24	1
stress_b32_run01	0x3c	5	10	8	23	1
stress_b32_run01	0x3d	5	14	8	27	1
stress_b32_run01	0x42	4	11	8	23	1
stress_b32_run01	0x43	4	9	8	21	1
stress_b32_run01	0x44	4	9	12	25	1
stress_b32_run01	0x45	4	9	8	21	1
stress_b32_run01	0x46	4	9	8	21	1
stress_b32_run01	0x47	5	9	7	21	1
stress_b32_run01	0x48	4	13	7	24	1
stress_b32_run01	0x49	4	9	8	21	1
stress_b32_run01	0x4a	4	9	7	20	1
stress_b32_run01	0x4b	4	9	7	20	1
stress_b32_run01	0x4c	3	10	9	22	1
stress_b32_run01	0x4d	4	9	8	21	1
stress_b32_run01	0x4e	4	8	8	20	1
stress_b32_run01	0x4f	4	10	8	22	1
stress_b32_run01	0x50	4	9	7	20	1
stress_b32_run01	0x51	4	9	7	20	1
stress_b32_run01	0x52	4	9	8	21	1
stress_b32_run01	0x53	4	8	8	20	1
stress_b32_run01	0x54	4	9	7	20	1
stress_b32_run01	0x55	4	8	8	20	1
stress_b32_run01	0x56	4	9	7	20	1
stress_b32_run01	0x57	4	9	8	21	1
stress_b32_run01	0x58	4	9	7	20	1
stress_b32_run01	0x59	4	10	9	23	1
stress_b32_run01	0x5a	4	10	7	21	1
stress_b32_run01	0x5b	4	8	8	20	1
stress_b32_run01	0x3e	4	8	8	20	1
stress_b32_run01	0x3f	5	15	8	28	1
stress_b32_run01	0x40	4	11	9	24	1
stress_b32_run01	0x41	5	10	8	23	1
stress_b32_run01	0x5c	5	10	8	23	1
stress_b32_run01	0x5d	4	9	8	21	1
stress_b32_run01	0x5e	4	8	8	20	1
stress_b32_run01	0x5f	4	9	7	20	1
stress_b32_run01	0x60	7	20	11	38	1
stress_b32_run01	0x61	5	12	9	26	0
stress_b32_run01	0x61	5	12	9	26	1
stress_b32_run01	0x62	5	13	9	27	1
stress_b32_run01	0x63	5	12	10	27	1
stress_b32_run01	0x64	6	11	10	27	1
stress_b32_run01	0x65	5	12	10	27	1
stress_b32_run01	0x66	6	10	10	26	1
stress_b32_run01	0x67	5	12	9	26	1
stress_b32_run01	0x68	5	12	10	27	1
stress_b32_run01	0x69	5	12	10	27	1
stress_b32_run01	0x6a	6	14	10	30	1
stress_b32_run01	0x6b	6	12	10	28	1
stress_b32_run01	0x6c	6	12	9	27	1
stress_b32_run01	0x6d	5	12	10	27	1
stress_b32_run01	0x6e	5	12	10	27	1
stress_b32_run01	0x6f	6	11	10	27	1
stress_b32_run01	0x70	5	13	9	27	1
