run	request_id	opcode	peer	batch_size	data_bytes	status	request_queue_us	metadata_prepare_us	taskworker_prepare_us	poller_queue_us	data_transfer_us	metadata_settle_us	response_slot_wait_us	response_submit_us	response_transfer_us	data_tm_to_hixl_execute_async_us	data_tm_to_hixl_query_handle_us	response_tm_to_hixl_execute_async_us	response_tm_to_hixl_query_handle_us	total_us
run01	1	0	127.0.0.1:4500	2	0	SUCCESS	155	1	8	139	0	0	143	1888	1601	0	0	25	4	3797
run01	1	1	127.0.0.1:4501	108	7962624	SUCCESS	12	113	2284	149	1229	29	1	146	58	22	4	6	5	3757
run01	2	0	127.0.0.1:4500	2	0	SUCCESS	91	1	5	144	0	0	148	218	88	0	0	15	14	550
run01	2	2	127.0.0.1:4501	108	7962624	SUCCESS	40	34	360	115	268	27	1	133	41	25	4	6	5	869
run01	1	2	127.0.0.1:4502	108	7962624	SUCCESS	220	15	2094	59	1805	16	0	171	67	35	11	14	11	4373
run01	3	0	127.0.0.1:4500	2	0	SUCCESS	131	1	5	145	0	0	148	238	76	0	0	15	6	599
run01	3	1	127.0.0.1:4501	108	7962624	SUCCESS	90	147	386	69	307	35	1	112	92	18	4	5	6	1022
run01	4	0	127.0.0.1:4500	2	0	SUCCESS	82	1	4	145	0	0	147	179	69	0	0	13	6	481
run01	4	2	127.0.0.1:4501	108	7962624	SUCCESS	101	36	231	52	309	17	1	129	57	14	6	7	7	845
run01	2	2	127.0.0.1:4502	108	7962624	SUCCESS	332	16	708	116	204	10	0	158	78	35	13	13	11	1489
stress_b32_run01	1	0	127.0.0.1:4500	2	0	SUCCESS	68	1	10	122	0	0	128	1980	1732	0	0	23	5	3918
stress_b32_run01	2	0	127.0.0.1:4500	2	0	SUCCESS	155	0	3	51	0	0	53	198	78	0	0	10	12	487
stress_b32_run01	1	1	127.0.0.1:4501	108	7962624	SUCCESS	127	111	2287	32	1079	35	2	145	46	23	4	6	5	3720
stress_b32_run01	3	0	127.0.0.1:4500	2	0	SUCCESS	49	1	3	96	0	0	98	139	56	0	0	7	6	344
stress_b32_run01	4	0	127.0.0.1:4500	2	0	SUCCESS	13	0	2	142	0	0	143	116	87	0	0	5	5	361
stress_b32_run01	5	0	127.0.0.1:4500	2	0	SUCCESS	18	1	1	49	0	0	49	114	43	0	0	6	5	226
stress_b32_run01	6	0	127.0.0.1:4500	2	0	SUCCESS	64	0	3	61	0	0	62	104	74	0	0	6	4	306
stress_b32_run01	7	0	127.0.0.1:4500	2	0	SUCCESS	44	1	2	89	0	0	91	101	44	0	0	5	5	281
stress_b32_run01	8	0	127.0.0.1:4500	2	0	SUCCESS	32	0	2	88	0	0	89	102	43	0	0	6	4	268
