bucket	run	request_id	opcode	peer	stage	value_us
ge_1000	run01	1	0	127.0.0.1:4500	response_submit_us	1888
ge_1000	run01	1	0	127.0.0.1:4500	response_transfer_us	1601
ge_1000	run01	1	0	127.0.0.1:4500	total_us	3797
ge_1000	run01	1	1	127.0.0.1:4501	taskworker_prepare_us	2284
ge_1000	run01	1	1	127.0.0.1:4501	data_transfer_us	1229
ge_1000	run01	1	1	127.0.0.1:4501	total_us	3757
around_500_400_799	run01	2	0	127.0.0.1:4500	total_us	550
near_1000_800_999	run01	2	2	127.0.0.1:4501	total_us	869
ge_1000	run01	1	2	127.0.0.1:4502	taskworker_prepare_us	2094
ge_1000	run01	1	2	127.0.0.1:4502	data_transfer_us	1805
ge_1000	run01	1	2	127.0.0.1:4502	total_us	4373
around_500_400_799	run01	3	0	127.0.0.1:4500	total_us	599
ge_1000	run01	3	1	127.0.0.1:4501	total_us	1022
around_500_400_799	run01	4	0	127.0.0.1:4500	total_us	481
near_1000_800_999	run01	4	2	127.0.0.1:4501	total_us	845
around_500_400_799	run01	2	2	127.0.0.1:4502	taskworker_prepare_us	708
ge_1000	run01	2	2	127.0.0.1:4502	total_us	1489
ge_1000	stress_b32_run01	1	0	127.0.0.1:4500	response_submit_us	1980
ge_1000	stress_b32_run01	1	0	127.0.0.1:4500	response_transfer_us	1732
ge_1000	stress_b32_run01	1	0	127.0.0.1:4500	total_us	3918
around_500_400_799	stress_b32_run01	2	0	127.0.0.1:4500	total_us	487
ge_1000	stress_b32_run01	1	1	127.0.0.1:4501	taskworker_prepare_us	2287
ge_1000	stress_b32_run01	1	1	127.0.0.1:4501	data_transfer_us	1079
ge_1000	stress_b32_run01	1	1	127.0.0.1:4501	total_us	3720
around_500_400_799	stress_b32_run01	11	0	127.0.0.1:4500	total_us	424
around_500_400_799	stress_b32_run01	12	0	127.0.0.1:4500	total_us	616
around_500_400_799	stress_b32_run01	30	0	127.0.0.1:4500	total_us	421
around_500_400_799	stress_b32_run01	2	1	127.0.0.1:4501	total_us	624
ge_1000	stress_b32_run01	1	2	127.0.0.1:4502	taskworker_prepare_us	2150
ge_1000	stress_b32_run01	1	2	127.0.0.1:4502	data_transfer_us	2217
ge_1000	stress_b32_run01	1	2	127.0.0.1:4502	response_transfer_us	3715
ge_1000	stress_b32_run01	1	2	127.0.0.1:4502	total_us	8452
ge_1000	stress_b32_run01	2	2	127.0.0.1:4502	request_queue_us	2273
ge_1000	stress_b32_run01	2	2	127.0.0.1:4502	data_transfer_us	2397
ge_1000	stress_b32_run01	2	2	127.0.0.1:4502	response_transfer_us	3411
ge_1000	stress_b32_run01	2	2	127.0.0.1:4502	total_us	8560
ge_1000	stress_b32_run01	3	2	127.0.0.1:4502	request_queue_us	2424
ge_1000	stress_b32_run01	3	2	127.0.0.1:4502	data_transfer_us	2546
ge_1000	stress_b32_run01	3	2	127.0.0.1:4502	response_transfer_us	8900
ge_1000	stress_b32_run01	3	2	127.0.0.1:4502	total_us	14336
ge_1000	stress_b32_run01	4	2	127.0.0.1:4502	request_queue_us	2643
around_500_400_799	stress_b32_run01	4	2	127.0.0.1:4502	poller_queue_us	436
ge_1000	stress_b32_run01	4	2	127.0.0.1:4502	data_transfer_us	2730
ge_1000	stress_b32_run01	4	2	127.0.0.1:4502	response_transfer_us	8579
ge_1000	stress_b32_run01	4	2	127.0.0.1:4502	total_us	14397
ge_1000	stress_b32_run01	5	2	127.0.0.1:4502	request_queue_us	2835
ge_1000	stress_b32_run01	5	2	127.0.0.1:4502	data_transfer_us	2898
ge_1000	stress_b32_run01	5	2	127.0.0.1:4502	response_transfer_us	8263
ge_1000	stress_b32_run01	5	2	127.0.0.1:4502	total_us	14443
ge_1000	stress_b32_run01	6	2	127.0.0.1:4502	request_queue_us	3042
ge_1000	stress_b32_run01	6	2	127.0.0.1:4502	data_transfer_us	3099
ge_1000	stress_b32_run01	6	2	127.0.0.1:4502	response_transfer_us	7956
ge_1000	stress_b32_run01	6	2	127.0.0.1:4502	total_us	14543
ge_1000	stress_b32_run01	7	2	127.0.0.1:4502	request_queue_us	3228
around_500_400_799	stress_b32_run01	7	2	127.0.0.1:4502	poller_queue_us	702
ge_1000	stress_b32_run01	7	2	127.0.0.1:4502	data_transfer_us	3299
ge_1000	stress_b32_run01	7	2	127.0.0.1:4502	response_transfer_us	7662
ge_1000	stress_b32_run01	7	2	127.0.0.1:4502	total_us	14620
ge_1000	stress_b32_run01	8	2	127.0.0.1:4502	request_queue_us	3432
around_500_400_799	stress_b32_run01	8	2	127.0.0.1:4502	poller_queue_us	496
ge_1000	stress_b32_run01	8	2	127.0.0.1:4502	data_transfer_us	3480
ge_1000	stress_b32_run01	8	2	127.0.0.1:4502	response_transfer_us	7340
ge_1000	stress_b32_run01	8	2	127.0.0.1:4502	total_us	14691
ge_1000	stress_b32_run01	9	2	127.0.0.1:4502	request_queue_us	3635
ge_1000	stress_b32_run01	9	2	127.0.0.1:4502	data_transfer_us	3664
ge_1000	stress_b32_run01	9	2	127.0.0.1:4502	response_transfer_us	7029
ge_1000	stress_b32_run01	9	2	127.0.0.1:4502	total_us	14775
ge_1000	stress_b32_run01	10	2	127.0.0.1:4502	request_queue_us	3864
ge_1000	stress_b32_run01	10	2	127.0.0.1:4502	data_transfer_us	3860
ge_1000	stress_b32_run01	10	2	127.0.0.1:4502	response_transfer_us	6691
ge_1000	stress_b32_run01	10	2	127.0.0.1:4502	total_us	14848
ge_1000	stress_b32_run01	11	2	127.0.0.1:4502	request_queue_us	4048
ge_1000	stress_b32_run01	11	2	127.0.0.1:4502	poller_queue_us	3902
ge_1000	stress_b32_run01	11	2	127.0.0.1:4502	data_transfer_us	4751
ge_1000	stress_b32_run01	11	2	127.0.0.1:4502	response_transfer_us	5687
ge_1000	stress_b32_run01	11	2	127.0.0.1:4502	total_us	14925
ge_1000	stress_b32_run01	12	2	127.0.0.1:4502	request_queue_us	4252
ge_1000	stress_b32_run01	12	2	127.0.0.1:4502	poller_queue_us	3729
ge_1000	stress_b32_run01	12	2	127.0.0.1:4502	data_transfer_us	4880
ge_1000	stress_b32_run01	12	2	127.0.0.1:4502	response_transfer_us	5516
ge_1000	stress_b32_run01	12	2	127.0.0.1:4502	total_us	14997
ge_1000	stress_b32_run01	13	2	127.0.0.1:4502	request_queue_us	4424
ge_1000	stress_b32_run01	13	2	127.0.0.1:4502	poller_queue_us	3472
ge_1000	stress_b32_run01	13	2	127.0.0.1:4502	data_transfer_us	4874
ge_1000	stress_b32_run01	13	2	127.0.0.1:4502	response_transfer_us	5347
ge_1000	stress_b32_run01	13	2	127.0.0.1:4502	total_us	15067
ge_1000	stress_b32_run01	14	2	127.0.0.1:4502	request_queue_us	4669
ge_1000	stress_b32_run01	14	2	127.0.0.1:4502	poller_queue_us	3283
