run	request	transfer_elapsed_us	transfer_bytes	op_desc_count	query_total_us
stress_tp8_b4_run02_stage_trace	0x1	3419	10	1	5
stress_tp8_b4_run02_stage_trace	0x2	358	10	1	3
stress_tp8_b4_run02_stage_trace	0x3	4094	7962624	108	6
stress_tp8_b4_run02_stage_trace	0x4	169	63	1	2
stress_tp8_b4_run02_stage_trace	0x5	143	10	1	3
stress_tp8_b4_run02_stage_trace	0x6	149	10	1	2
stress_tp8_b4_run02_stage_trace	0x7	210	63	1	4
stress_tp8_b4_run02_stage_trace	0x1	3435	7962624	108	3
stress_tp8_b4_run02_stage_trace	0x2	2084	7962624	108	1
stress_tp8_b4_run02_stage_trace	0x3	579	63	1	2
stress_tp8_b4_run02_stage_trace	0x4	1602	63	1	4
stress_tp8_b4_run02_stage_trace	0x8	3535	7962624	108	4
stress_tp8_b4_run02_stage_trace	0xa	1464	63	1	4
stress_tp8_b4_run02_stage_trace	0x9	3462	7962624	108	2
stress_tp8_b4_run02_stage_trace	0x5	4658	7962624	108	4
stress_tp8_b4_run02_stage_trace	0x6	4728	7962624	108	3
stress_tp8_b4_run02_stage_trace	0xd	4426	63	1	3
stress_tp8_b4_run02_stage_trace	0x9	2930	63	1	2
stress_tp8_b4_run02_stage_trace	0xc	1458	63	1	2
stress_tp8_b4_run02_stage_trace	0xb	6254	7962624	108	3
stress_tp8_b4_run02_stage_trace	0xc	5262	7962624	108	2
stress_tp8_b4_run02_stage_trace	0x7	5242	7962624	108	2
stress_tp8_b4_run02_stage_trace	0x8	3949	7962624	108	2
stress_tp8_b4_run02_stage_trace	0xa	3889	7962624	108	2
stress_tp8_b4_run02_stage_trace	0xb	2783	7962624	108	2
stress_tp8_b4_run02_stage_trace	0x11	1114	63	1	2
stress_tp8_b4_run02_stage_trace	0x13	881	63	1	1
stress_tp8_b4_run02_stage_trace	0xd	761	63	1	1
stress_tp8_b4_run02_stage_trace	0xe	659	63	1	1
stress_tp8_b4_run02_stage_trace	0xf	550	63	1	1
stress_tp8_b4_run02_stage_trace	0x10	411	63	1	1
stress_tp8_b4_run02_stage_trace	0xe	3111	7962624	108	2
stress_tp8_b4_run02_stage_trace	0xf	1949	7962624	108	1
stress_tp8_b4_run02_stage_trace	0x10	1901	7962624	108	2
stress_tp8_b4_run02_stage_trace	0x12	1845	7962624	108	2
stress_tp8_b4_run02_stage_trace	0x14	586	63	1	2
stress_tp8_b4_run02_stage_trace	0x15	472	63	1	1
stress_tp8_b4_run02_stage_trace	0x16	377	63	1	1
stress_tp8_b4_run02_stage_trace	0x17	270	63	1	1
stress_tp8_b4_run02_stage_trace	0x18	331	10	1	5
stress_tp8_b4_run02_stage_trace	0x19	168	10	1	2
stress_tp8_b4_run02_stage_trace	0x1a	161	10	1	2
stress_tp8_b4_run02_stage_trace	0x1b	157	10	1	3
stress_tp8_b4_run02_stage_trace	0x1c	850	7962624	108	3
stress_tp8_b4_run02_stage_trace	0x1d	814	7962624	108	3
stress_tp8_b4_run02_stage_trace	0x11	644	7962624	108	3
stress_tp8_b4_run02_stage_trace	0x20	1043	63	1	2
stress_tp8_b4_run02_stage_trace	0x21	982	63	1	3
stress_tp8_b4_run02_stage_trace	0x1e	1882	7962624	108	3
stress_tp8_b4_run02_stage_trace	0x1f	2119	7962624	108	3
stress_tp8_b4_run02_stage_trace	0x15	1445	63	1	2
stress_tp8_b4_run02_stage_trace	0x12	2086	7962624	108	1
stress_tp8_b4_run02_stage_trace	0x13	2102	7962624	108	2
stress_tp8_b4_run02_stage_trace	0x14	2235	7962624	108	2
stress_tp8_b4_run02_stage_trace	0x26	1612	63	1	3
stress_tp8_b4_run02_stage_trace	0x29	1210	63	1	2
