[2026-08-24 19:20:19.615802][UC][I] DramPool CompletionPoller started [878,891][drampool_server.cc:555,CompletionPollerLoop]
[2026-08-24 19:20:19.615920][UC][I] DramPool TaskWorker started [878,892][drampool_server.cc:473,TaskWorkerLoop]
[2026-08-24 19:20:19.616054][UC][I] DramPool GCThread started, interval_ms=1000 [878,893][drampool_server.cc:562,GCThreadLoop]
[2026-08-24 19:20:19.616163][UC][I] DramPool RequestReceiver started, addr=127.0.0.1:9000 [878,894][drampool_server.cc:480,RequestReceiveLoop]
[2026-08-24 19:20:21.414020][UC][I] DramPool health server is disabled [878,878][health_server.cc:140,Start]
[2026-08-24 19:20:21.414065][UC][I] DramPool service ready, addr=127.0.0.1:9000 [878,878][drampool_daemon.cc:79,Run]
[2026-08-24 19:21:34.066517][UC][I] [METRIC DEBUG] TransportManager ExecuteAsync START:2359242442653 [878,891][transport_manager.cpp:640,ExecuteAsync]
[2026-08-24 19:21:34.066588][UC][I] [METRIC DEBUG] TransportManager ExecuteAsync find transport:2359242442725 [878,891][transport_manager.cpp:645,ExecuteAsync]
[2026-08-24 19:21:34.066597][UC][I] [METRIC DEBUG] HIXL transport ExecuteAsync START:2359242442733 [878,891][hixl_transport.cpp:627,ExecuteAsync]
[2026-08-24 19:21:34.066603][UC][I] [METRIC DEBUG] HIXL transport ExecuteAsync get lifecycle_lock:2359242442739 [878,891][hixl_transport.cpp:629,ExecuteAsync]
[2026-08-24 19:21:34.066609][UC][I] [METRIC DEBUG] HIXL transport ExecuteAsync get peer route:2359242442745 [878,891][hixl_transport.cpp:659,ExecuteAsync]
[2026-08-24 19:21:34.066615][UC][I] [METRIC DEBUG] HIXL transport ExecuteAsync validate memory:2359242442752 [878,891][hixl_transport.cpp:671,ExecuteAsync]
[2026-08-24 19:21:34.066621][UC][I] [METRIC DEBUG] HIXL instance TransferAsync START:2359242442757 [878,891][hixl_instance.cpp:283,TransferAsync]
[2026-08-24 19:21:34.066653][UC][I] [METRIC DEBUG] HIXL instance TransferAsync RUN:2359242442787 [878,916][hixl_instance.cpp:286,operator()]
[2026-08-24 19:21:34.066675][UC][I] [METRIC DEBUG] HIXL instance TransferAsync descriptors built:2359242442811 [878,916][hixl_instance.cpp:288,operator()]
[2026-08-24 19:21:34.066679][UC][I] [METRIC DEBUG] HIXL instance TransferAsync native call begin:2359242442816 [878,916][hixl_instance.cpp:296,operator()]
[2026-08-24 19:21:34.068430][UC][I] [METRIC DEBUG] HIXL instance TransferAsync native call returned:2359242444566 [878,916][hixl_instance.cpp:300,operator()]
[2026-08-24 19:21:34.068466][UC][I] [METRIC DEBUG] HIXL instance TransferAsync Run returned:2359242444603 [878,891][hixl_instance.cpp:316,TransferAsync]
[2026-08-24 19:21:34.068471][UC][I] [METRIC DEBUG] HIXL instance TransferAsync return:2359242444608 [878,891][hixl_instance.cpp:318,TransferAsync]
[2026-08-24 19:21:34.068475][UC][I] [METRIC DEBUG] HIXL transport ExecuteAsync instance returned:2359242444612 [878,891][hixl_transport.cpp:677,ExecuteAsync]
[2026-08-24 19:21:34.068479][UC][I] [METRIC DEBUG] HIXL transport ExecuteAsync pending inserted:2359242444615 [878,891][hixl_transport.cpp:687,ExecuteAsync]
[2026-08-24 19:21:34.068486][UC][I] [METRIC DEBUG] HIXL transport ExecuteAsync return:2359242444623 [878,891][hixl_transport.cpp:694,ExecuteAsync]
[2026-08-24 19:21:34.068490][UC][I] [METRIC DEBUG] TransportManager ExecuteAsync backend returned:2359242444626 [878,891][transport_manager.cpp:658,ExecuteAsync]
[2026-08-24 19:21:34.068494][UC][I] [METRIC DEBUG] TransportManager ExecuteAsync record inserted:2359242444631 [878,891][transport_manager.cpp:679,ExecuteAsync]
[2026-08-24 19:21:34.068498][UC][I] [PERF] component=transport event=transfer_submitted manager=127.0.0.1:8000 target=127.0.0.1:4500 handle=1 transport_handle=1 opcode=1 direct=2 segments=1 bytes=10 submitted_ts_us=1787570494068493 manager_execute_async_ts_us=1787570494066515 backend_execute_async_ts_us=1787570494066678 manager_to_backend_execute_async_us=163 submit_us=1898 [878,891][transport_manager.cpp:681,ExecuteAsync]
