run	handle	target	transport_op	segments	bytes	submit_us	hixl_op	comm_total_us	desc_build_us	inner_us	context_us	connect_us	get_channel_us	channel_async_us	tail_us	mutex_us	slot_us	host_flag_us	record_us	issue_us	issue_context_us	hccl_issue_us	flag_memcpy_us	hccl_us
run2	1	127.0.0.1:4500	1	1	10	1934	1	1870	0	1870	16	1	4	1841	2	0	1458	10	3	363	1	334	20	288
run2	2	127.0.0.1:4501	0	108	7962624	2204	0	2161	1	2160	2	0	1	2151	1	1	1486	6	2	652	1	636	9	605
run2	3	127.0.0.1:4501	1	1	63	191	1	169	0	169	1	0	0	161	1	0	1	0	0	156	0	143	7	127
run2	4	127.0.0.1:4500	1	1	10	432	1	382	1	381	14	0	4	335	1	1	1	2	1	325	1	303	15	269
run2	5	127.0.0.1:4501	1	108	7962624	269	1	238	1	237	1	0	1	232	1	0	1	1	0	228	1	217	7	181
run2	6	127.0.0.1:4501	1	1	63	114	1	99	0	99	0	0	1	95	0	0	0	1	0	87	0	79	5	70
run2	7	127.0.0.1:4502	1	108	7962624	2025	1	1948	2	1946	10	0	4	1926	1	0	1324	11	2	584	1	563	15	523
run2	8	127.0.0.1:4502	1	1	63	165	1	131	0	131	1	0	0	127	1	0	1	0	0	124	1	115	6	96
run2	9	127.0.0.1:4500	1	1	10	392	1	340	1	339	14	0	3	316	1	0	2	1	1	308	1	289	13	255
run2	10	127.0.0.1:4501	0	108	7962624	276	0	243	1	242	1	0	1	237	0	0	1	0	1	231	0	219	7	200
run2	11	127.0.0.1:4501	1	1	63	124	1	106	0	106	1	0	0	99	1	0	0	0	0	96	1	85	5	73
run2	12	127.0.0.1:4500	1	1	10	509	1	465	1	464	9	0	2	447	2	0	1	1	1	440	1	421	13	366
run2	13	127.0.0.1:4502	1	108	7962624	372	1	305	2	303	5	0	3	291	1	0	1	1	1	283	1	266	11	238
run2	14	127.0.0.1:4501	1	108	7962624	255	1	228	1	227	1	0	0	221	1	0	1	1	0	216	1	204	8	193
run2	15	127.0.0.1:4502	1	1	63	150	1	116	0	116	1	0	0	108	1	0	0	0	0	104	1	94	5	78
run2	16	127.0.0.1:4501	1	1	63	114	1	100	0	100	1	0	0	96	0	1	0	0	0	93	1	84	5	77
