run	request_id	opcode	peer	batch_size	data_bytes	status	request_queue_us	metadata_prepare_us	taskworker_prepare_us	data_transfer_us	response_submit_us	response_transfer_us	total_us
run2	1	0	127.0.0.1:4500	2	0	SUCCESS	20	1	8	0	1997	1457	3595
run2	1	1	127.0.0.1:4501	108	7962624	SUCCESS	66	116	2380	1175	226	28	3907
run2	2	0	127.0.0.1:4500	2	0	SUCCESS	63	2	9	0	483	42	737
run2	2	2	127.0.0.1:4501	108	7962624	SUCCESS	8	39	357	228	123	21	765
run2	1	2	127.0.0.1:4502	108	7962624	SUCCESS	106	22	2064	1761	204	40	4186
run2	3	0	127.0.0.1:4500	2	0	SUCCESS	132	1	8	0	444	58	789
run2	3	1	127.0.0.1:4501	108	7962624	SUCCESS	8	150	479	273	136	29	958
run2	4	0	127.0.0.1:4500	2	0	SUCCESS	52	1	8	0	559	42	804
run2	2	2	127.0.0.1:4502	108	7962624	SUCCESS	67	30	436	243	164	40	982
run2	4	2	127.0.0.1:4501	108	7962624	SUCCESS	485	17	284	267	122	19	1187
